Date,BRF Price change/L,Gas95 Price change/L
2018-08-1,-0.20294375,0
2018-09-3,0.99916875,0.7
2018-10-1,0.42905625,0
2018-11-1,-2.72443125,-2.6
2018-12-3,-1.741375,-2.4
2019-01-2,0.40268125,1.9
2019-02-11,1.00855,-0.1
2019-03-4,0.3852875,1
2019-04-1,0.9159375,1.21
2019-05-2,-0.04423125,0.29
2019-06-3,-1.47654375,-1.6
2019-07-1,0.20785625,0
2019-08-1,-0.751325,-0.6
2019-09-2,0.4064625,0.5
2019-10-1,-0.75095625,-0.7
2019-11-1,0.4709875,0.5
2019-12-2,0.41695625,0.8
2020-01-2,-0.075975,-0.9
2020-02-3,-1.6582125,-1.3
2020-03-2,-4.00501875,-7.3
2020-04-1,-1.4840625,-2.1
2020-05-4,0.9403125,3.5
2020-06-1,1.47921875,2.4
2020-07-1,0.42628125,0.3
2020-08-3,0.30525625,0.2
