週別,結算價變化量之週平均,結算價週平均
2019/1/2 ~ 2019/1/4,47.750,1676.000
2019/1/7 ~ 2019/1/11,33.900,1827.500
2019/1/14 ~ 2019/1/18,1.400,1866.800
2019/1/21 ~ 2019/1/25,1.000,1908.000
2019/1/28 ~ 2019/1/30,-3.000,1875.833
2019/2/11 ~ 2019/2/15,18.800,1942.500
2019/2/18 ~ 2019/2/22,13.900,2050.900
2019/2/25 ~ 2019/2/27,-13.833,2022.500
2019/3/4 ~ 2019/3/8,2.400,2022.100
2019/3/11 ~ 2019/3/15,8.700,2066.200
2019/3/18 ~ 2019/3/22,2.500,2084.200
2019/3/25 ~ 2019/3/29,2.600,2084.700
2019/4/1 ~ 2019/4/3,14.500,2122.333
2019/4/8 ~ 2019/4/12,9.800,2187.100
2019/4/15 ~ 2019/4/19,4.100,2205.400
2019/4/22 ~ 2019/4/26,15.200,2290.000
2019/4/29 ~ 2019/5/3,-28.750,2207.875
2019/5/6 ~ 2019/5/10,1.700,2170.700
2019/5/13 ~ 2019/5/17,20.400,2224.600
2019/5/20 ~ 2019/5/24,-23.900,2245.000
2019/5/27 ~ 2019/5/31,-11.200,2177.500
2019/6/3 ~ 2019/6/6,-50.750,1922.875
2019/6/10 ~ 2019/6/14,8.300,1945.800
2019/6/17 ~ 2019/6/21,8.900,1954.700
2019/6/24 ~ 2019/6/28,12.100,2037.800
2019/7/1 ~ 2019/7/5,-17.200,1989.900
2019/7/8 ~ 2019/7/12,21.900,2033.700
2019/7/15 ~ 2019/7/19,-25.800,2011.200
2019/7/22 ~ 2019/7/26,4.900,1973.300
2019/7/29 ~ 2019/8/2,-6.400,1984.100
2019/8/5 ~ 2019/8/8,-32.000,1876.250
2019/8/12 ~ 2019/8/16,6.500,1851.700
2019/8/19 ~ 2019/8/23,8.300,1876.700
2019/8/26 ~ 2019/8/30,6.200,1880.400
2019/9/2 ~ 2019/9/6,-3.100,1860.700
2019/9/9 ~ 2019/9/12,-2.125,1934.875
2019/9/16 ~ 2019/9/20,20.400,2025.100
2019/9/23 ~ 2019/9/27,-13.300,1959.600
2019/10/1 ~ 2019/10/4,-35.125,1816.375
2019/10/7 ~ 2019/10/9,-1.667,1796.000
2019/10/14 ~ 2019/10/18,7.300,1811.900
2019/10/21 ~ 2019/10/25,10.600,1828.700
2019/10/28 ~ 2019/11/1,-12.200,1858.000
2019/11/4 ~ 2019/11/8,13.600,1875.800
2019/11/11 ~ 2019/11/15,5.400,1893.500
2019/11/18 ~ 2019/11/22,6.100,1903.300
2019/11/25 ~ 2019/11/29,0.900,1948.400
2019/12/2 ~ 2019/12/6,-3.700,1886.100
2019/12/9 ~ 2019/12/13,4.800,1946.900
2019/12/16 ~ 2019/12/20,12.500,1985.000
2019/12/23 ~ 2019/12/27,6.800,2017.000
2019/12/30 ~ 2019/12/31,7.500,2055.250
